period,value,unit,unit_multiplier,status
2008,4.44,percent,0,final
2009,4.89,percent,0,final
2010,4.89,percent,0,final
2011,5.22,percent,0,final
2012,5.11,percent,0,final
2013,4.78,percent,0,final
2014,4.67,percent,0,final
2015,3.67,percent,0,final
2016,3.33,percent,0,final
2017,3.33,percent,0,final
2018,3,percent,0,final
2019,3.11,percent,0,final
2020,3.25,percent,0,final
2021,3.63,percent,0,final
2022,3.88,percent,0,final
2023,4.11,percent,0,final
2024,4.33,percent,0,final
2025,4.89,percent,0,final
